"comparison","diff","lwr_CI","upr_CI","p_adj"
"HDR9: In_pTDH3_Staygold-HDR12: In_pTef1_yUKG1",-0.253483254375089,-0.740711809872304,0.233745301122126,0.890515603608274
"HDR14: In_pTef1_yStaygold-HDR13: In_pTef1_Staygold",0.0779891291464252,-0.374514717929425,0.530492976222275,0.999998505548861
"HDR2: In_yStayGold-HDR13: In_pTef1_Staygold",-0.420690338821847,-0.884949490156921,0.0435688125132259,0.121897454505907
"HDR3: In_pGK1_mUKG1-HDR13: In_pTef1_Staygold",0.427476767731517,-0.105548910839435,0.960502446302469,0.275844883207808
"HDR4: In_pGK1_yUKG1-HDR13: In_pTef1_Staygold",0.731248683145841,0.28387737086082,1.17861999543086,6.9616040956344e-06
"HDR5: In_pGK1_Staygold-HDR13: In_pTef1_Staygold",0.520152640901718,0.0416052612481879,0.998700020555249,0.0194821383160101
"HDR6:In_pGK1_yStaygold-HDR13: In_pTef1_Staygold",0.0221025878667738,-0.416199445764713,0.460404621498261,1
"HDR7:In_pTDH3_mUKG1-HDR13: In_pTef1_Staygold",0.822039029738891,0.325725120318811,1.31835293915897,4.79224722715887e-06
"HDR8: In_pTDH3_yUKG1-HDR13: In_pTef1_Staygold",1.01870587046095,0.580403836829467,1.45700790409244,9.99600402451506e-12
"HDR9: In_pTDH3_Staygold-HDR13: In_pTef1_Staygold",0.233992559319224,-0.272945206074777,0.740930324713225,0.953666041560408
"HDR2: In_yStayGold-HDR14: In_pTef1_yStaygold",-0.498679467968273,-0.951183315044123,-0.0461756208924225,0.016365473205344
"HDR3: In_pGK1_mUKG1-HDR14: In_pTef1_yStaygold",0.349487638585092,-0.173331207705003,0.872306484875186,0.582833041684198
"HDR4: In_pGK1_yUKG1-HDR14: In_pTef1_yStaygold",0.653259553999416,0.218099510939734,1.0884195970591,6.30435687234421e-05
"HDR5: In_pGK1_Staygold-HDR14: In_pTef1_yStaygold",0.442163511755293,-0.0249882479474207,0.909315271458007,0.0845189106213786
"HDR6:In_pGK1_yStaygold-HDR14: In_pTef1_yStaygold",-0.0558865412796514,-0.481717311311103,0.3699442287518,0.999999948071395
"HDR7:In_pTDH3_mUKG1-HDR14: In_pTef1_yStaygold",0.744049900592465,0.258714275788429,1.2293855253965,3.7758355190709e-05
"HDR8: In_pTDH3_yUKG1-HDR14: In_pTef1_yStaygold",0.940716741314529,0.514885971283077,1.36654751134598,1.146374106753e-10
"HDR9: In_pTDH3_Staygold-HDR14: In_pTef1_yStaygold",0.156003430172799,-0.340191158675916,0.652198019021513,0.998606039226476
"HDR3: In_pGK1_mUKG1-HDR2: In_yStayGold",0.848167106553364,0.315141427982413,1.38119278512432,1.44790903512382e-05
