Sample #,Section,Transformation type,Colony Color,Mean FITC (GFP),Mean FITC each group,Standard Deviation
540,C01,HDR13: In_pTef1_Staygold,Red,"5,376.48",,
590,C01,HDR13: In_pTef1_Staygold,Red,"5,731.84",,
631,C02,HDR13: In_pTef1_Staygold,Red,"3,859.67",,
639,C02,HDR13: In_pTef1_Staygold,Red,"1,970.38",,
782,D01,HDR13: In_pTef1_Staygold,Red,"4,293.50",,
838,D02,HDR13: In_pTef1_Staygold,Red,"4,035.41",,
952,E01,HDR13: In_pTef1_Staygold,Red,"3,164.55",,
"1,037",E02,HDR13: In_pTef1_Staygold,Red,"3,623.26",,
1162,F01,HDR13: In_pTef1_Staygold,red,"1,684.30",,
1163,F01,HDR13: In_pTef1_Staygold,red,"1,811.37",,
1256,F02,HDR13: In_pTef1_Staygold,red,"1,701.78",,
1257,F02,HDR13: In_pTef1_Staygold,red,"1,539.52",,
146,A01,HDR14: In_pTef1_yStaygold,Red,"1,993.49","7,259.14",16747.97891
171,A01,HDR14: In_pTef1_yStaygold,Red,"11,487.00",,
246,A02,HDR14: In_pTef1_yStaygold,Red,"3,946.85",,
267,A02,HDR14: In_pTef1_yStaygold,Red,"3,336.32",,
357,B01,HDR14: In_pTef1_yStaygold,Red,"3,267.21",,
385,B01,HDR14: In_pTef1_yStaygold,Red,731.7,,
484,B02,HDR14: In_pTef1_yStaygold,Red,"1,901.35",,
541,C01,HDR14: In_pTef1_yStaygold,Red,"4,955.91",,
556,C01,HDR14: In_pTef1_yStaygold,Red,"4,448.73",,
630,C02,HDR14: In_pTef1_yStaygold,Red,"2,412.46",,
637,C02,HDR14: In_pTef1_yStaygold,Red,"4,805.10",,
656,C02,HDR14: In_pTef1_yStaygold,Red,"5,546.08",,
783,D01,HDR14: In_pTef1_yStaygold,Red,"1,950.64",,
788,D01,HDR14: In_pTef1_yStaygold,Red,"5,819.93",,
828,D02,HDR14: In_pTef1_yStaygold,Red,"3,529.60",,
954,E01,HDR14: In_pTef1_yStaygold,Red,"2,708.25",,
968,E01,HDR14: In_pTef1_yStaygold,Red,"1,828.81",,
1039,E02,HDR14: In_pTef1_yStaygold,Red,"77,697.17",,
1187,F01,HDR14: In_pTef1_yStaygold,red,"1,720.69",,
1285,F02,HDR14: In_pTef1_yStaygold,red,"1,095.57",,
148,A01,HDR2: In_yStayGold,Red,"1,295.00","1,268.82",775.8770132
164,A01,HDR2: In_yStayGold,Red,"1,827.51",,
248,A02,HDR2: In_yStayGold,Red,611.85,,
256,A02,HDR2: In_yStayGold,Red,665.22,,
264,A02,HDR2: In_yStayGold,Red,"1,023.25",,
330,B01,HDR2: In_yStayGold,Red,"1,575.11",,
364,B01,HDR2: In_yStayGold,Red,508.89,,
425,B02,HDR2: In_yStayGold,Red,"3,374.92",,
464,B02,HDR2: In_yStayGold,Red,995.30,,
487,B02,HDR2: In_yStayGold,Red,"1,375.69",,
660,C02,HDR2: In_yStayGold,Red,"2,722.34",,
732,D01,HDR2: In_yStayGold,Red,"1,039.71",,
853,D02,HDR2: In_yStayGold,Red,863.06,,
978,E01,HDR2: In_yStayGold,Red,"1,846.54",,
1050,E02,HDR2: In_yStayGold,Red,"1,157.04",,
1057,E02,HDR2: In_yStayGold,Red,829.96,,
1130,F01,HDR2: In_yStayGold,red,627.86,,
1224,F02,HDR2: In_yStayGold,red,499.44,,
101,A01,HDR3: In_pGK1_mUKG1,Red,"16,150.48","9,482.86",5743.878284
200,A02,HDR3: In_pGK1_mUKG1,Red,"10,214.26",,
300,B01,HDR3: In_pGK1_mUKG1,Red,"11,570.55",,
400,B02,HDR3: In_pGK1_mUKG1,Red,"1,597.90",,
580,C01,HDR3: In_pGK1_mUKG1,Red,"20,274.64",,
702,D01,HDR3: In_pGK1_mUKG1,Red,"6,187.56",,
803,D02,HDR3: In_pGK1_mUKG1,Red,"3,585.71",,
806,D02,HDR3: In_pGK1_mUKG1,Red,"14,877.59",,
1004,E02,HDR3: In_pGK1_mUKG1,Red,"5,461.35",,
1200,F02,HDR3: In_pGK1_mUKG1,red,"7,726.10",,
1201,F02,HDR3: In_pGK1_mUKG1,red,"6,665.33",,
103,A01,HDR4: In_pGK1_yUKG1,Red,"21,527.55","22,924.73",22036.85849
174,A01,HDR4: In_pGK1_yUKG1,Red,"18,327.67",,
202,A02,HDR4: In_pGK1_yUKG1,Red,"6,856.22",,
290,A02,HDR4: In_pGK1_yUKG1,Red,"16,757.10",,
302,B01,HDR4: In_pGK1_yUKG1,Red,"16,943.38",,
402,B02,HDR4: In_pGK1_yUKG1,Red,17459.1,,
419,B02,HDR4: In_pGK1_yUKG1,Red,"1,250.42",,
434,B02,HDR4: In_pGK1_yUKG1,Red,"21,751.14",,
504,C01,HDR4: In_pGK1_yUKG1,Red,"32,594.79",,
564,C01,HDR4: In_pGK1_yUKG1,Red,"18,140.61",,
608,C02,HDR4: In_pGK1_yUKG1,Red,"29,699.38",,
609,C02,HDR4: In_pGK1_yUKG1,Red,"21,714.16",,
648,C02,HDR4: In_pGK1_yUKG1,Red,"20,634.99",,
687,C02,HDR4: In_pGK1_yUKG1,Red,"26,295.93",,
700,D01,HDR4: In_pGK1_yUKG1,Red,"16,330.29",,
717,D01,HDR4: In_pGK1_yUKG1,Red,"39,629.99",,
877,D02,HDR4: In_pGK1_yUKG1,Red,"24,960.48",,
1006,E02,HDR4: In_pGK1_yUKG1,Red,"8,830.74",,
1075,E02,HDR4: In_pGK1_yUKG1,Red,"109,666.57",,
1135,F01,HDR4: In_pGK1_yUKG1,,"11,280.08",,
1234,F02,HDR4: In_pGK1_yUKG1,red,768.71,,
112,A01,HDR5: In_pGK1_Staygold,Red,"5,834.80","26,493.63",42135.85162
214,A02,HDR5: In_pGK1_Staygold,Red,"6,061.76",,
345,B01,HDR5: In_pGK1_Staygold,Red,"2,862.08",,
444,B02,HDR5: In_pGK1_Staygold,Red,"1,211.81",,
513,C01,HDR5: In_pGK1_Staygold,Red,"8,764.21",,
583,C01,HDR5: In_pGK1_Staygold,Red,"2,703.50",,
602,C02,HDR5: In_pGK1_Staygold,Red,"8,926.83",,
758,D01,HDR5: In_pGK1_Staygold,Red,"5,154.96",,
801,D02,HDR5: In_pGK1_Staygold,Red,"6,437.56",,
808,D02,HDR5: In_pGK1_Staygold,Red,"1,857.66",,
913,E01,HDR5: In_pGK1_Staygold,Red,"115,888.45",,
1010,E02,HDR5: In_pGK1_Staygold,Red,"130,768.75",,
1144,F01,HDR5: In_pGK1_Staygold,red,"16,576.26",,
1145,F01,HDR5: In_pGK1_Staygold,red,"5,364.19",,
1244,F02,HDR5: In_pGK1_Staygold,red,"76,707.27",,
1245,F02,HDR5: In_pGK1_Staygold,red,"28,777.98",,
107,A01,HDR6:In_pGK1_yStaygold,Red,"5,058.40","4,257.69",4666.114015
151,A01,HDR6:In_pGK1_yStaygold,Red,"4,707.62",,
